"Laikotarpis","Rodiklis","Amžius (tikslinės amžiaus grupės)","Gyvenamoji vietovė","Lytis","Matavimo vienetai","Reikšmė"
"2006","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","10.2"
"2007","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","9.0"
"2008","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","14.2"
"2009","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","27.9"
"2010","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","32.8"
"2011","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","27.7"
"2012","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","23.2"
"2013","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","18.7"
"2014","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","16.2"
"2015","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","15.3"
"2016","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","11.7"
"2017","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","11.3"
"2018","Nedarbo lygis","15–24","Miestas","Vyrai ir moterys","proc.","9.2"
"1998","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","19.8"
"1999","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","23.0"
"2000","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","22.0"
"2001","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","22.7"
"2002","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","17.5"
"2003","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","19.1"
"2004","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","14.2"
"2005","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","9.9"
"2006","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","6.5"
"2007","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","6.1"
"2008","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","9.6"
"2009","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","19.5"
"2010","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","24.0"
"2011","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","19.6"
"2012","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","15.8"
"2013","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","14.1"
"2014","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","12.1"
"2015","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","11.3"
"2016","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","8.5"
"2017","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","7.0"
"2018","Nedarbo lygis","15–29","Miestas","Vyrai ir moterys","proc.","5.8"
"1998","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","14.5"
"1999","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","17.1"
"2000","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","17.8"
"2001","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","18.8"
"2002","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","15.6"
"2003","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","13.7"
"2004","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","11.6"
"2005","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","8.8"
"2006","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","5.6"
"2007","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","4.2"
"2008","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","5.8"
"2009","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","12.8"
"2010","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","16.1"
"2011","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","13.1"
"2012","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","10.9"
"2013","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","9.7"
"2014","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","8.5"
"2015","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","7.0"
"2016","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","6.0"
"2017","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","5.5"
"2018","Nedarbo lygis","15–64","Miestas","Vyrai ir moterys","proc.","5.0"
"1998","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","14.3"
"1999","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","16.9"
"2000","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","17.7"
"2001","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","18.6"
"2002","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","15.5"
"2003","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","13.6"
"2004","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","11.5"
"2005","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","8.7"
"2006","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","5.5"
"2007","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","4.1"
"2008","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","5.7"
"2009","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","12.6"
"2010","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","15.9"
"2011","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","12.9"
"2012","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","10.7"
"2013","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","9.5"
"2014","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","8.4"
"2015","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","6.9"
"2016","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","5.9"
"2017","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","5.4"
"2018","Nedarbo lygis","15–74","Miestas","Vyrai ir moterys","proc.","4.9"
"1998","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","14.0"
"1999","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","16.5"
"2000","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","17.4"
"2001","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","18.4"
"2002","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","15.3"
"2003","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","13.2"
"2004","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","11.4"
"2005","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","8.7"
"2006","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","5.5"
"2007","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","4.1"
"2008","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","5.6"
"2009","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","12.5"
"2010","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","15.8"
"2011","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","13.0"
"2012","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","10.7"
"2013","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","9.6"
"2014","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","8.5"
"2015","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","7.0"
"2016","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","5.9"
"2017","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","5.4"
"2018","Nedarbo lygis","20–64","Miestas","Vyrai ir moterys","proc.","4.9"
"1998","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","13.8"
"1999","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","16.3"
"2000","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","16.7"
"2001","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","17.8"
"2002","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","14.7"
"2003","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","11.9"
"2004","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","10.6"
"2005","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","8.2"
"2006","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","5.0"
"2007","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","3.8"
"2008","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","5.1"
"2009","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","11.7"
"2010","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","14.9"
"2011","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","12.2"
"2012","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","10.0"
"2013","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","9.0"
"2014","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","7.8"
"2015","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","6.4"
"2016","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","5.7"
"2017","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","5.2"
"2018","Nedarbo lygis","25–54","Miestas","Vyrai ir moterys","proc.","4.5"
"1998","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","7.7"
"1999","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","6.9"
"2000","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","13.7"
"2001","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","15.1"
"2002","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","14.6"
"2003","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","14.2"
"2004","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","10.4"
"2005","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","8.0"
"2006","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","6.7"
"2007","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","4.1"
"2008","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","4.0"
"2009","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","9.8"
"2010","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","13.2"
"2011","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","10.7"
"2012","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","9.5"
"2013","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","8.4"
"2014","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","8.1"
"2015","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","6.2"
"2016","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","5.0"
"2017","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","4.8"
"2018","Nedarbo lygis","55–64","Miestas","Vyrai ir moterys","proc.","5.4"
"1998","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"1999","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2000","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.","6.8"
"2001","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2002","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2003","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.","8.1"
"2004","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.","6.4"
"2005","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2006","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2007","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2008","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.","3.7"
"2009","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2010","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2011","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2012","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2013","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2014","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2015","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2016","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2017","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"2018","Nedarbo lygis","65+","Miestas","Vyrai ir moterys","proc.",
"1998","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","15.9"
"1999","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","18.5"
"2000","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","20.3"
"2001","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","21.6"
"2002","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","16.9"
"2003","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","14.2"
"2004","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","11.2"
"2005","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","8.5"
"2006","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","5.7"
"2007","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","4.1"
"2008","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","6.0"
"2009","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","16.0"
"2010","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","19.6"
"2011","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","15.1"
"2012","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","11.9"
"2013","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","10.1"
"2014","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","9.4"
"2015","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","7.9"
"2016","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","6.7"
"2017","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","6.6"
"2018","Nedarbo lygis","Iš viso pagal amžiaus grupes","Miestas","Vyrai","proc.","5.3"
"1998","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","28.7"
"1999","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","32.3"
"2000","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","31.5"
"2001","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","37.9"
"2002","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","24.6"
"2003","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","25.4"
"2004","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","22.8"
"2005","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","16.7"
"2006","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","9.8"
"2007","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","7.5"
"2008","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","15.2"
"2009","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","32.6"
"2010","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","36.5"
"2011","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","30.2"
"2012","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","26.1"
"2013","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","19.5"
"2014","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","16.1"
"2015","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","16.5"
"2016","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","13.4"
"2017","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","14.1"
"2018","Nedarbo lygis","15–24","Miestas","Vyrai","proc.","8.6"
"1998","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","23.7"
"1999","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","24.2"
"2000","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","25.6"
"2001","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","26.7"
"2002","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","18.7"
"2003","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","20.7"
"2004","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","15.7"
"2005","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","10.7"
"2006","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","7.0"
"2007","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","5.4"
"2008","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","10.8"
"2009","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","24.2"
"2010","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","28.4"
"2011","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","22.0"
"2012","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","17.0"
"2013","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","14.0"
"2014","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","12.7"
"2015","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","11.6"
"2016","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","9.2"
"2017","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","8.7"
"2018","Nedarbo lygis","15–29","Miestas","Vyrai","proc.","6.2"
"1998","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","16.1"
"1999","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","18.8"
"2000","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","20.4"
"2001","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","21.8"
"2002","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","17.1"
"2003","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","14.3"
"2004","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","11.3"
"2005","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","8.7"
"2006","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","5.8"
"2007","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","4.1"
"2008","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","6.0"
"2009","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","16.3"
"2010","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","19.9"
"2011","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","15.4"
"2012","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","12.1"
"2013","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","10.4"
"2014","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","9.6"
"2015","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","8.1"
"2016","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","6.8"
"2017","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","6.7"
"2018","Nedarbo lygis","15–64","Miestas","Vyrai","proc.","5.4"
"1998","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","15.9"
"1999","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","18.5"
"2000","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","20.3"
"2001","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","21.6"
"2002","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","16.9"
"2003","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","14.2"
"2004","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","11.2"
"2005","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","8.5"
"2006","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","5.7"
"2007","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","4.1"
"2008","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","6.0"
"2009","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","16.0"
"2010","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","19.6"
"2011","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","15.2"
"2012","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","11.9"
"2013","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","10.2"
"2014","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","9.5"
"2015","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","7.9"
"2016","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","6.7"
"2017","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","6.6"
"2018","Nedarbo lygis","15–74","Miestas","Vyrai","proc.","5.3"
"1998","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","15.5"
"1999","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","18.0"
"2000","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","19.8"
"2001","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","21.2"
"2002","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","16.8"
"2003","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","13.9"
"2004","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","11.1"
"2005","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","8.5"
"2006","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","5.6"
"2007","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","4.0"
"2008","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","5.8"
"2009","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","15.9"
"2010","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","19.6"
"2011","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","15.2"
"2012","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","11.9"
"2013","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","10.2"
"2014","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","9.6"
"2015","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","8.0"
"2016","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","6.7"
"2017","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","6.6"
"2018","Nedarbo lygis","20–64","Miestas","Vyrai","proc.","5.4"
"1998","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","15.2"
"1999","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","17.8"
"2000","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","19.4"
"2001","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","19.9"
"2002","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","16.0"
"2003","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","12.9"
"2004","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","10.3"
"2005","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","7.8"
"2006","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","5.0"
"2007","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","3.7"
"2008","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","5.2"
"2009","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","15.0"
"2010","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","18.7"
"2011","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","14.1"
"2012","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","10.9"
"2013","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","9.4"
"2014","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","8.7"
"2015","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","7.1"
"2016","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","6.3"
"2017","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","6.2"
"2018","Nedarbo lygis","25–54","Miestas","Vyrai","proc.","5.0"
"1998","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","7.6"
"1999","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","9.4"
"2000","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","15.8"
"2001","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","18.7"
"2002","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","18.1"
"2003","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","13.8"
"2004","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","9.5"
"2005","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","8.6"
"2006","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","7.9"
"2007","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","4.5"
"2008","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","3.7"
"2009","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","12.1"
"2010","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","16.0"
"2011","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","13.2"
"2012","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","10.3"
"2013","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","9.5"
"2014","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","10.4"
"2015","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","8.2"
"2016","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","5.7"
"2017","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","5.6"
"2018","Nedarbo lygis","55–64","Miestas","Vyrai","proc.","5.7"
"1998","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"1999","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2000","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2001","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2002","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2003","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2004","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2005","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2006","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2007","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2008","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2009","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2010","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
"2011","Nedarbo lygis","65+","Miestas","Vyrai","proc.",
